shakespeare,modern
"We judge no less. , Uncle of Exeter , Enlarge the man committed yesterday That railed against our person .","Uncle of Exeter , release the man who was arrested yesterday for railing against me ."
"That's mercy , but too much security .",That's merciful but a bit careless .
"Oh , let us yet be merciful .","Oh , let us be merciful anyway ."
And now to our French causes .,"And now , let's turn to our business with the French ."
Who are the late commissioners ?,Who are the new commissioners ?
"I one , my lord .","I am one , my lord ."
Your Highness bade me ask for it today .,Your Highness told me to ask for my commission today .
"So did you me , my liege .","You told me to do the same , my liege ."
"And I , my royal sovereign .","And me , too , my royal sovereign ."
"I do confess my fault , And do submit me to Your Highness ' mercy .",I confess my crime and throw myself on your Highness's mercy .
To which we all appeal .,To which we all appeal .
The mercy that was quick in us but late By your own counsel is suppressed and killed .,The mercy that was alive in me a moment ago was smothered and killed by your own advice .
"Tis so strange That , though the truth of it stands off as gross As black and white , my eye will scarcely see it .","Though the truth of your treachery is as plain as black on white , I can scarcely believe it , it's so past understanding ."
"Treason and murder ever kept together As two yoke-devils sworn to either's purpose , Working so grossly in a natural cause That admiration did not whoop at them .","All other devils who tempt people to treason patch together some motive , put together from shreds"
"All other devils that suggest by treasons Do botch and bungle up damnation With patches , colors , and with forms being fetched From glist'ring semblances of piety .",and patches of righteousness .
"But he that tempered thee bade thee stand up , Gave thee no instance why thou shouldst do treason , Unless to dub thee with the name of traitor .",But the devil that tempted you gave you no reason why you should commit treason other than to win the name of traitor .
"If that same demon that hath gulled thee thus Should with his lion gait walk the whole world , He might return to vasty Tartar back And tell the legions ""I can never win A soul so easy as that Englishman's."" Oh , how hast thou with jealousy infected The sweetness of affiance !","The demon who seduced you could stride the world over with the proud gait of a lion , could return to hell and tell the devil's legions , ""I will never win another soul as easily as I won that Englishman's."" How you have poisoned my faith in people !"
"Why , so didst thou .","Why , so did you ."
"Why , so didst thou .","Why , so did you ."
Come they of noble family ?,Do they come from good families ?
"Why , so didst thou .","Why , so did you ."
Seem they religious ?,Do they seem religious ?
"Why , so didst thou .","Why , so did you ."
Such and so finely bolted didst thou seem .,That's how sound a man you appeared .
And thus thy fall hath left a kind of blot To mark the full-fraught man and best endued With some suspicion .,Your fall has left a blot that opens even the best and brightest to suspicion .
"I will weep for thee , For this revolt of thine methinks is like Another fall of man. , Their faults are open .",This treachery of yours is like the second
"I arrest thee of high treason , by the name of Richard , Earl of Cambridge .","Richard Earl of Cambridge , I arrest you for high treason ."
"I arrest thee of high treason , by the name of Henry , Lord Scroop of Masham .","Henry Lord Scroop of Masham , I arrest you for high treason ."
"I arrest thee of high treason , by the name of Thomas Grey , knight , of Northumberland .","Thomas Grey , knight , of Northumberland , I arrest you for high treason ."
"Our purposes God justly hath discovered , And I repent my fault more than my death , Which I beseech Your Highness to forgive , Although my body pay the price of it .","I regret my crime more than my death , and I beg your Highness to forgive me , while punishing my body with death ."
"For me , the gold of France did not seduce , Although I did admit it as a motive The sooner to effect what I intended ; But God be thanked for prevention , Which I in sufferance heartily will rejoice , Beseeching God and you to pardon me .","But I thank God that I failed in my scheme , and I rejoice in paying the penalty , as I beg God and you to pardon me ."
